customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
0004164d20a9e969af783496f3408652,104bdb7e6a6cdceaa88c3ea5fa6b2b93,13272,valinhos,SP
0028ff36263a86bf679df7c863a0a0ba,0659763dba9821af49728668716e1084,28895,rio das ostras,RJ
003177b3eeca50af17750f53802c9a09,20681391edaed7eccd918d4a74f8a570,58052,joao pessoa,PB
00330644cccc5db0276fa836976306fe,385ec0e1c5bcf488115ca06b26ec9f8b,20021,rio de janeiro,RJ
00447b6bd39c4a0f6366b05948f9e2e3,3c9e98b59c61b1ccdba1108eca8c61d4,87710,paranavai,PR
0050ee32fbb93383fb0d9e3d8ee89a07,0301e2b22f44b5a060987ecf49f8ada8,78400,diamantino,MT
007182cdc3e8e2d3d4ce0b00b9004630,0c4f8b6f80f0dbddbdce3882d2242be9,01251,sao paulo,SP
00791d8bb3acb245dc0b865656e18fff,56b6eede1b10925212f054a7ba614796,37410,tres coracoes,MG
008d16b47540f172f75b765d5ea1eed0,35757a3cfd70b9aeab443c4dc1d8ad30,02804,sao paulo,SP
00b2b9682f5c2a1f7cf1312ce6a0ea9d,949b75abf6fdda78201547bf5f4c07f5,12236,sao jose dos campos,SP
00cca8735b2e7b89dc267f378e5c9e8d,c118a3dba2fb79861a948df731adc128,12570,aparecida,SP
00d97ddbc2cafa83bc2412d11da98d88,10e640a7ba92ae8164a1f2adba8bf44c,13650,santa cruz das palmeiras,SP
00da48d824214ffba48ab43f5b1d29a0,1500da334da019c68fda219f942ba38a,95040,caxias do sul,RS
00f8ac751ae484a82adb20b42ad1aca7,cf9546de2a77aa119bba565138bf5d34,85801,cascavel,PR
0137bbd3e8c493cfa735b98ef18bd1c6,9403933633aca7e3c413927cbf0ccfd5,30140,belo horizonte,MG
0137f0a46fd3e941f09ead2566bd6408,f8935f608ed11f06cec5ab977057511a,88526,lages,SC
013c39ad671a385ad47e7d108dc6517b,9e72470a3139f0c9b6ea5d48a0007423,25961,teresopolis,RJ
014945a1b791b4b3585bc9d2e8a85d82,f9440ee3262032e0f0ea6ab93edad013,05346,sao paulo,SP
01571872abf22fe5f1be95d63d768575,a78c6edd8ba14885a70e81135fa5fa2d,38057,uberaba,MG
0163303a840691e9f9378d1e41f4849a,2db30afa2e791f20edcaf11c2522572d,60744,fortaleza,CE
0165051ac7514aff1b132007d915622f,ebfd11f20986b88de98c61d9609c569f,42840,abrantes,BA
01813ee9f6884594643a63fc9eaf76a1,d4598f80bbe611f529f578021c1f7a07,14802,araraquara,SP
018346fb20f70801a88a7b8c6dbc2e31,ead836024f59595707c0fb51d9c3463b,48800,monte santo,BA
01961d1b276640f460e6061e7f28873f,60dce986762313a6e0b5d1ff0ecde379,02936,sao paulo,SP
01980baf1c23e7437caf43ce20455d0d,05dc31852040e5e6837f220db434be1c,22780,rio de janeiro,RJ
01a52718e4ca43d2cc1da7c9209a6325,dbceb1472a69b0b7b0a56d0b9c9893f7,11520,cubatao,SP
01a61e75bd333a349351fba370520597,51498d611c600d2fbc05374a3928cfb2,02475,sao paulo,SP
01a672f8689f3c466770ff1883deabe5,6e2fa574b5d96d05551f67cff12f7a54,04821,sao paulo,SP
01aefa3a069cf73167ddbe7725755c2c,8d6edc318022d1d2b7dad49d0053f295,19700,paraguacu paulista,SP
01d443a484536e8a8c520f79dd9f6ad4,c7a71f7c54e8e3cad9f4fedeb13f45af,89820,xanxere,SC
01d581c1d75cd6e7a5315b20589b9944,b5bf139e95255dcdc5eba1fa8e4ff98e,03324,sao paulo,SP
01e5e7553c95f21eda0aaf0da6e0e4d1,02da4d32a2cf298f82d850d77481da0c,08710,mogi das cruzes,SP
01e92a3b160b9a3751ffc7cf52dbed77,7ca927e2dc1febee7484b42dfac3c9d3,11925,ilha comprida,SP
01edba0c1380aa0c91437bee4b7193a5,321606e7fd388f26b3a6ab005fa494f8,14403,franca,SP
01ee3674cbbee7421ea03a3549f0c74d,6b7d9529319d329dfa074692573fb187,58040,joao pessoa,PB
01f4581bf20e14d770c5de782d7ee783,2a07bb527e9136109981057d48af3924,13564,sao carlos,SP
01fb9c979f94a851f92484ae6d6bc41d,2ce5ab213c50be66dd4b323e0cdd09ef,15780,santa rita d'oeste,SP
0218de8038240591323aa1f89630a1e8,77001b080dd723bc9a22e538e5e06e41,06463,barueri,SP
0225ea6650051752e6352a65f4316c49,7fb1599a88a6b7d15f100b29908d25bd,09790,sao bernardo do campo,SP
