seller_id,seller_zip_code_prefix,seller_city,seller_state
001cca7ae9ae17fb1caed9dfb1094831,29156,cariacica,ES
002100f778ceb8431b7a1020ff7ab48f,14405,franca,SP
004c9cd9d87a3c30c522c48c4fc07416,14940,ibitinga,SP
00720abe85ba0859807595bbf045a33b,07070,guarulhos,SP
00ee68308b45bc5e2660cd833c3f81cc,03333,sao paulo,SP
00fc707aaaad2d31347cf883cd2dfe10,87025,maringa,PR
013900e863eace745d3ec7614cab5b1a,80740,curitiba,PR
014c0679dd340a0e338872e7ec85666a,35180,timoteo,MG
01c97ebb5cdac52891c0ed1c37ba0012,15804,catanduva,SP
01cf7e3d21494c41fb86034f2e714fa1,85603,francisco beltrao,PR
01fdefa7697d26ad920e9e0346d4bd1b,86050,londrina,PR
0241d4d5d36f10f80c644447315af0bd,80330,curitiba,PR
02c988090b766852e088c69d7fb3b551,13473,americana,SP
02dcd3e8e25bee036e32512bcf175493,32310,contagem,MG
02ecc2a19303f05e59ce133fd923fff7,09121,santo andre,SP
02f5837340d7eb4f653d676c7256523a,80620,curitiba,PR
02f623a8eb246f3c5f7c2f96462654e6,18611,botucatu,SP
039b29ff3b3473435d0cd59040575de9,09443,ribeirao pires,SP
039e6ad9dae79614493083e241147386,03560,sao paulo,SP
0417b067eeab773d2f7061a726dc477f,89288,sao bento do sul,SC
04308b1ee57b6625f47df1d56f00eedf,88215,bombinhas,SC
0432ead42b6c8a0bdf68154add917fdf,09320,maua,SP
044668ccd5316b12a7cf0d54a156e3e9,06016,osasco,SP
048c2757535328e0d7dac690ad3c0aae,14406,franca,SP
04e38a233f726ef161074ab1c9b0399a,01239,sao paulo,SP
0509040ea3fe50071181bbc359eb7738,31710,belo horizonte,MG
054694fa03fe82cec4b7551487331d74,15840,itajobi,SP
056b4ada5bbc2c50cc7842547dda6b51,26379,queimados,RJ
058fd0aa2bfdb2274e05e1ae971dabb6,09020,santo andre,SP
05d2173d43ea568aa0540eba70d2ca76,37135,alfenas,MG
05ff92fedb5be47920fea08e501238b9,98803,santo angelo,RS
062c325cd6a2b87845fab56b4ec2eeae,08150,sao paulo,SP
062ce95fa2ad4dfaedfc79260130565f,95913,lajeado,RS
06579cb253ecd5a3a12a9e6eb6bf8f47,04007,sao paulo - sp,SP
066a6914e1ebf3ea95a216c73a986b91,85863,foz do iguacu,PR
06a2c3af7b3aee5d69171b0e14f0ee87,65072,sao luis,MA
06e5eefc71ec47ae763c5c6f8db7064f,91350,porto alegre,RS
070d165398b553f3b4b851c216b8a358,03916,sao paulo,SP
0725b8c0f3f906e58f70cbe76b7c748c,07023,guarulhos,SP
0791d9fc1e30678ecf03d3e55fa108d3,30775,belo horizonte,MG
07bf9669d84d1f11be443a9dd938f698,04761,sao paulo,SP
080102cd0a76b09e0dcf55fcacc60e05,31140,belo horizonte,MG
080199a181c46c657dc5aa235411be3b,06097,osasco,SP
08633c14ef2db992c11f840f04fad4cd,09416,ribeirao pires,SP
0885aaf116795758dfeb5f1032487bcd,08541,ferraz de vasconcelos,SP
093805f8f2aeb63881444571e1f48f30,06236,osasco,SP
094ced053e257ae8cae57205592d6712,14095,ribeirao preto,SP
0951a6e282947e09cd47969f4ed0b47f,06763,taboao da serra,SP
099095b050cfe8eb1ddff5317587e96e,03322,sao paulo,SP
09f952a5f58d2285b0372551ae8f9b01,09725,sao bernardo do campo,SP
0a85ebe4e328db81ac9109781205e2f7,13205,jundiai,SP
0ac4201fda2c68ebc0e47cb9423cf3c9,03345,sao paulo,SP
0adac9fbd9a2b63cccaac4f8756c1ca8,13290,louveira,SP
0af977692321d895349eded183341d28,11070,santos,SP
0afccdb8a34ee5c79f7c06faf2b4d56e,38400,uberlandia,MG
0b1ca3ef18a63d7eb0c8897fa0849c08,18131,sao roque,SP
0b35c634521043bf4b47e21547b99ab5,84530,teixeira soares,PR
0b64bcdb0784abc139af04077d49a20e,92420,canoas,RS
0b90b6df587eb83608a64ea8b390cf07,87025,maringa,PR
0bae85eb84b9fb3bd773911e89288d54,88301,itajai,SP
0be8ff43f22e456b4e0371b2245e4d01,04461,sao paulo,SP
0bf0150d5b9d60d9cd2906003332f085,01547,sao paulo,SP
0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP
0c7f30ae9b147eca07affbef92832a6a,84020,ponta grossa,PR
0c8380b62e38e8a1e6adbeba7eb9688c,37410,tres coracoes,MG
0cbcee27c791afa0cdcb08587a2013a8,37410,tres coracoes,MG
0d33a55da925bbf1ff02af5f6059fc7f,05632,sao paulo,SP
0d83f8e03188682112cc0d93523705cc,91150,porto alegre,RS
0d85bbda9889ce1f7e63778d24f346eb,38414,uberlandia,MG
0db783cfcd3b73998abc6e10e59a102f,11010,santos,SP
0dd184061fb0eaa7ca37932c68ab91c5,07031,guarulhos,SP
0df3984f9dfb3d49ac6366acbd3bbb85,32604,betim,MG
0e44d110fa6a54e121cb2c095a77762f,07901,francisco morato,SP
0ea22c1cfbdc755f86b9b54b39c16043,35700,sete lagoas,MG
0eaa7e33d73809f1f925f7d07c506cbd,09111,santo andre,SP
0ebd97a106433a45a4aebe57c1799778,32240,contagem,MG
0ed6ce5d87fd9c69eaacaeb778d67235,13473,americana,SP
0ef83d7d83ed97cd2a0049ac8be5f88a,80230,curitiba,PR
0ffa40d54288e4f3499b8780dd0f144f,19013,presidente prudente,SP
10076e5788b8ee532724bcd460baf762,14315,batatais,SP
10089e9f2fd0c668a8fd4e52e1698888,15061,sao jose do rio preto,SP
101a3a003516bc11253298b2fad3cb65,13503,rio claro,SP
1025f0e2d44d7041d6cf58b6550e0bfa,03204,sao paulo,SP
1099a00e0ee3a50935e6c2447ca090c5,20921,rio de janeiro,RJ
1127b7f2594683f2510f1c2c834a486b,13087,campinas,SP
11305281b50fff20ae8bb473f8e11876,36500,uba,MG
116ccb1a1604bc88e4d234a8c23f33de,09850,sao bernardo do campo,SP
11bfa66332777660bd0640ee84d47006,14085,ribeirao preto,SP
128639473a139ac0f3e5f5ade55873a5,87050,maringa,PR
12b9676b00f60f3b700e83af21824c0e,95780,montenegro,RS
1336efc61c316ddf92c899eb817f7cae,19800,assis,SP
1354d51653f645349064725ed204e85e,01230,sao paulo,SP
138dbe45fc62f1e244378131a6801526,02215,sao paulo,SP
139157dd4daa45c25b0807ffff348363,03064,sao paulo,SP
13c2ed7698b3ca92dad49e849219da59,84010,ponta grossa,PR
13d058e4eeac2ce8217660b2f8a05812,06080,osasco,SP
13f57c12a00ed4610db646b913a7f5c6,11015,santos,SP
1430239a858e7682bbc43b20758af153,04087,sao paulo,SP
1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,BA
1464afc72f696af775557a821c2e253f,28630,nova friburgo,RJ
14a08204d03bb6b6bde8029f801ae0eb,01026,sao paulo,SP
14d7985702e72162bbf13b6beb74ab2b,09131,santo andre,SP
14ee35374a7876217954b5fa08e50463,15015,sao jose do rio preto,SP
14f2b3587172b9db894c9bad8dab520b,95240,ipe,RS
1554a68530182680ad5c8b042c3ab563,37580,monte siao,MG
157c3e4b42f81ac4a44e8b1ca2fe9876,03211,sao paulo,SP
1588ac4010787100dddef64568f0ae35,87045,maringa,PR
15fa791d5e017f66402dc28c44480657,03307,sao paulo,SP
16090f2ca825584b5a147ab24aa30c86,12940,atibaia,SP
165fc07beebdcb6190fba8a06db2a449,87015,maringa,PR
167fd940acebc789debd6eb418c46e38,14405,franca,SP
1690cada046eb7e92c12f98b1f8a8167,01303,sao paulo,SP
1771297ac436903d1dd6b0e9279aa505,07025,guarulhos,SP
17908cf9b444ee34047cadd5c0f4a516,75124,anapolis,GO
17a053fcb14bd219540cbde0df490be0,13843,mogi guacu,SP
17ca9b9e9b9ef8fdb529001b49ebb50f,32677,betim,MG
17e34d8224d27a541263c4c64b11a56b,14085,riberao preto,SP
17f51e7198701186712e53a39c564617,03908,sao paulo,SP
1835b56ce799e6a4dc4eddc053f04066,14940,ibitinga,SP
1838dd9b8977065acf51d95e0053ea7a,30882,belo horizonte,MG
18a349e75d307f4b4cc646a691ed4216,01319,sao paulo,SP
18e694e0e48ed6f7aa3f24aade5fd697,13224,varzea paulista,SP
1900267e848ceeba8fa32d80c1a5f5a8,14940,ibitinga,SP
1976a05ecf2996d6ffb7b5430e635fe7,19806,assis,SP
198c7ea11960a9844b544d9bcdca860c,37590,jacutinga,MG
1996942dc085d7773ba77a529b163cd0,14850,pradopolis,SP
1a3df491d1c4f1589fc2b934ada68bf2,89224,joinville,SC
1acde099eb406aa220b1169b188b42da,02532,sao paulo,SP
1b4c3a6f53068f0b6944d2d005c9fc89,88730,sao ludgero,SC
1b8356dabde1d35e17cef975c3f82730,03477,sao paulo,SP
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP
1bb2bdb95f4841f1bba2c0d2cd83d3c9,01257,sao paulo,SP
1bb3812d5f0747a3ab7348f199001a10,04708,sao paulo,SP
1c129092bf23f28a5930387c980c0dfc,02972,sao paulo,SP
1c40343cc5d18c2d8248ac2f3366de34,13482,limeira,SP
1c5e4e49b9079480255b49d50aac1aa9,11030,santos,SP
1c68394e931a64f90ea236c5ea590300,87114,sarandi,PR
1ca7077d890b907f89be8c954a02686a,06506,santana de parnaiba,SP
1caf283236cd69af44cbc09a0a1e7d32,26020,nova iguacu,RJ
1ce3ae5a399804d1a87e706f8a813c3e,88715,jaguaruna,SC
1d0997ff06b524ce9289ffd75114ecd3,52020,recife,PE
1d4587203296c8f4ad134dc286fa6db0,05101,sao paulo,SP
1d8dbc4f32378d715c717c1c1fc57bae,86706,arapongas,PR
1da366cade6d8276e7d8beea7af5d4bf,36500,uba,MG
1da3aeb70d7989d1e6d9b0e887f97c23,04265,sao paulo,SP
1dd33b8119b3cb1056ed5dc88cd0aaf4,04710,sao paulo,SP
1dfe5347016252a7884b694d4f10f5c4,14940,ibitinga,SP
1e483cc5c76fef08d3ca05f9a8af7d01,02929,sao paulo,SP
1e8b33f18b4f7598d87f5cbee2282cc2,02066,sao paulo,SP
1eade46fba20122dc4aefb379f8c636b,02066,sao paulo,SP
1f1bb1f0859883505541bdd6606193e5,02124,sao paulo,SP
1f50f920176fa81dab994f9023523100,15025,sao jose do rio preto,SP
1f9ab4708f3056ede07124aad39a2554,17602,tupa,SP
2059c39f76271d4ca3f15b5ffaccc8b8,81930,curitiba,PR
2089a6d640999f9b9141ac719b2af596,13566,sao carlos,SP
2138ccb85b11a4ec1e37afbd1c8eda1f,08250,sao paulo,SP
213b25e6f54661939f11710a6fddb871,13321,salto,SP
