order_id,payment_sequential,payment_type,payment_installments,payment_value
00310b0c75bb13015ec4d82d341865a4,1,credit_card,2,55.28
0055b77cca3186676c147f532dd2547b,1,credit_card,2,189.37
00584d79015452d19fd3d044ba3abdc0,1,credit_card,3,122.17
006cba07f62f921fe4f58365bde2b2eb,1,credit_card,2,81.98
008eaf9004164883520d0bd32b107261,1,boleto,1,157.34
0097aafe2a01dd54e39888976160c377,1,boleto,1,70.59
00b12f4674177ef40c4bdb034138c843,1,credit_card,1,122.87
00b402e8a76d3da83714c52d3977cc2d,1,credit_card,1,165.91
00b676b01c289cc661c6f7732492771a,1,credit_card,1,71.19
00bd50cdd31bd22e9081e6e2d5b3577b,1,credit_card,1,4.88
00bd50cdd31bd22e9081e6e2d5b3577b,2,voucher,1,40.46
00bd50cdd31bd22e9081e6e2d5b3577b,3,voucher,1,40.46
00c405bd71187154a7846862f585a9d4,1,credit_card,1,6.03
00c405bd71187154a7846862f585a9d4,2,voucher,1,0.21
00c405bd71187154a7846862f585a9d4,3,voucher,1,0.10
00c405bd71187154a7846862f585a9d4,4,voucher,1,0.25
00c405bd71187154a7846862f585a9d4,5,voucher,1,0.10
00c405bd71187154a7846862f585a9d4,6,voucher,1,20.00
00c405bd71187154a7846862f585a9d4,7,voucher,1,20.00
00c62d05602c1ca8164b98746d127fa8,1,boleto,1,128.35
00e7aeced1d61792368ec7bf8b967a90,1,boleto,1,58.70
0101aea69a09e1aa32caa6dbaba98503,1,credit_card,8,94.90
0115f8bb1dc16d3fac863ce1deb037b6,1,credit_card,4,136.46
011abf147a69ba486bae3a74b6cd1814,1,credit_card,3,296.71
0128412231f9fe9d7e944eea5392fc6b,1,boleto,1,94.83
013aa6ba5077072401773f83f1ee6408,1,credit_card,2,178.21
014fc889637133d9075190ba873dfc03,1,credit_card,1,45.77
016495aaab3fb481dc9decab2b4fdbfb,1,boleto,1,22.78
0168a7f186c1f066748d15d8c51f489a,1,boleto,1,158.20
01786fff06f2f7e8a83950c4b3b424ea,1,credit_card,2,69.24
0191b6a5a70bcbc6cdd39427f216602e,1,credit_card,3,167.86
0197416059c0e56b5344bf2188066317,1,credit_card,6,421.61
01978b8bae8292ffb4cee6abdf9b9089,1,boleto,1,58.00
01b1a7fdae9ad1837d6ab861705a1fa5,1,credit_card,1,135.84
01b703d8365608f2b01ed9c076d0b3dc,1,credit_card,1,59.24
01ba72e24cf883d74c5479c0a626c740,1,boleto,1,59.12
01bb5b3cb7df4da98ea2214d083784c4,1,boleto,1,52.59
01be2f7ca246adb9112cb75096af2ee0,1,credit_card,2,172.62
01be661b8196707ef60f062632d6d1bd,1,credit_card,3,204.06
01c1644529b18608f086d2ff0f3b8181,1,boleto,1,135.59
01c391e962558d0793e8dd8f6bad0999,1,credit_card,4,96.70
01c7b08f0c05952ce15edb928bb63d2d,1,credit_card,1,300.99
01c886b4b865797097ab2d051ae30cfd,1,boleto,1,76.76
01d72d42aaedb3736840132071d51100,1,credit_card,2,166.11
02332b54c758506809fd87d9c2748086,1,credit_card,2,54.14
023faf5fac58639f7cf53cb7dd219859,1,credit_card,3,85.74
024a74550cdbd36c0fe3955fc9e2bcf0,1,credit_card,1,35.45
02557013eeaffd86a6cc5ffd80a4b54e,1,credit_card,2,198.88
02605c218285d02df75a255f13396f1e,1,credit_card,1,59.83
02610d88ac343ed64988d2706ce3ebfd,1,boleto,1,43.11
029863af4b968de1e5d6a82782e662f5,1,credit_card,4,41.09
029f37989dcd7c9b928028086d68034b,1,credit_card,2,86.15
02a3c3a1c72dbff557b2f56fc0caa847,1,credit_card,2,40.28
02b9a87c19eb57b9ebaebb3a6850de9f,1,credit_card,2,114.93
02bcd06d9bfda1c2a4037560bed7b90f,1,credit_card,3,160.54
02bd584dedf7373cb07b6540cadf9a76,1,credit_card,1,77.18
02e723e8edb4a123d414f56cc9c4665e,1,credit_card,10,117.85
02e7b3980e9984556bb3a764306f3e31,1,credit_card,10,113.46
02ebcb8b63b7e61be9514866e432d1d8,1,credit_card,4,173.27
030475e22d114f70be1a265fee326192,1,credit_card,2,57.69
0311da9b3ac095a57a2662813e179bcb,1,credit_card,1,174.56
031f488d7e8549b5d8af94f5a3e9300e,1,credit_card,4,162.25
033bac5f45a9d0cf7be5e47f03ed1e44,1,credit_card,1,143.65
035518626172ac1884aa3825eb7d1379,1,credit_card,1,72.14
0371bb519b3c4b04bed0460608ce6c59,1,credit_card,2,31.80
0372d2e3d0ac2600aa8e08e6c46cb7dc,1,credit_card,4,76.65
038297c93a230b204ceeca7e2720b464,1,boleto,1,44.09
038862523957395d9316afa8b8b70976,1,boleto,1,197.51
03a54d3b0f15ac01bad656997420d3bb,1,boleto,1,81.42
03aba68b07658f28f29612641f08d4ba,1,credit_card,6,1202.64
03b89e8b0ef3ba18cc903dbaa7aff107,1,credit_card,4,47.20
03dbf3a42789c67ed5e2198f08d997dc,1,credit_card,3,253.62
03dde7ab63940fbffd10162a74347e95,1,credit_card,2,44.24
03ebfa9712b7dbc7031291856263b314,1,boleto,1,55.78
03f2f876bfee9ea9a502ec0d8a664e4c,1,credit_card,10,179.34
0412356b9ae3ad8db617e892afb02204,1,boleto,1,179.34
043671e7714932580dc35789804ffbcc,1,credit_card,5,117.77
0446b999e57cddf002396ed4baa07074,1,credit_card,1,52.50
044b08f176981f660b98a85c559ad57d,1,credit_card,3,82.56
044d94a4ac73b24fe28ff5293ac35bd8,1,credit_card,5,65.53
045acee11e62afca7764429c5710dac9,1,credit_card,1,27.19
045e9ebd4d41affc66333d58c3d107c1,1,credit_card,2,210.48
04814d2760b610101075888832621881,1,credit_card,1,461.99
0487b772aa23074a39079a6967041b72,1,credit_card,2,42.06
048cc31326007f07b576b46beddecc12,1,boleto,1,272.58
0492eead55cd90ba9690387cca2baa20,1,boleto,1,106.95
0494d7ef89583fcaf33a1cea4bcfeec2,1,boleto,1,64.05
049db9aade07d0056ead438e182f2b52,1,boleto,1,83.55
04a18000a647d0f0f842ca489dd4a464,1,credit_card,5,147.56
04a28263e085d399c97ae49e0b477efa,1,credit_card,3,100.23
04a772c0620384a8776c4fbcf4af5c01,1,credit_card,1,90.19
04b16351c3a70c83b9f8f1fe295cb450,1,boleto,1,114.80
04bef466ed85bb9eca9a6165d765574c,1,credit_card,2,153.62
